,Inputs,response,category
667,휴직 후 동일 업무 복직 시 배치전 건강진단 필요 여부,동일 업무로 복직 시 기존 주기대로 특수건강진단을 실시하면 됨.,건강진단 및 건강관리
670,근로자 건강진단 결과표 열람 가능 범위,유소견자의 경우 작업 전환 등 필요한 경우에만 제한적으로 열람 가능함.,건강진단 및 건강관리
127,건설공사 안전관리자 상주 여부,공사 종료 후 시운전 등 병행 시 안전관리자 상주 필요 없음.,건설업 안전관리
130,건설업 안전관리자 선임 기준 공사 금액 포함 항목,"공사금액에는 재료비, 노무비, 경비, 부가가치세 포함.",건설업 안전관리
132,건설업 안전관리자 선임 기준,2020.7.1 이후 공사금액 100억 이상부터 착공 시 안전관리자 선임 필요.,건설업 안전관리
135,유해위험방지계획서 제출공사 안전관리자 선임 기준,50억~120억 미만 현장은 도급인의 총 공사금액 기준으로 안전관리자 선임.,건설업 안전관리
137,철거공사 안전관리자 선임 기준,철거공사만 이루어지는 기간에는 최소 안전관리자 수 이상 선임 필요.,건설업 안전관리
140,관계수급인의 공사금액에 따른 안전관리자 선임 여부,50억~100억 미만 협력업체도 안전관리자 선임 필요함.,건설업 안전관리
141,건설업 안전관리자 정규직 고용 필요성,"현행 법령상 특정 직렬의 고용형태를 정규직으로 강제하기는 어려우나, 고용형태가 안전관리업무에 영향을 줄 수 있음.",건설업 안전관리
143,안전관리자 선임 시 공사금액 적용 기준,건설업 안전관리자 선임 기준은 공사금액과 관계없이 건축 및 토목 모든 공사에 동일 적용됨.,건설업 안전관리
144,유해위험방지계획서 대상 건설현장의 안전관리자,"원청은 관계수급인의 공사금액 포함하여 안전관리자 선임하고, 일부 예외 상황에서 기존 선임 인정됨.",건설업 안전관리
145,안전관리자 선임보고서의 개선 필요성,"안전관리자, 보건관리자, 산업보건의 선임 보고서 양식을 별도 분리하는 방안 검토 중.",건설업 안전관리
146,건설현장 안전관리자 중도퇴사 시 과태료 책임,"중도퇴사로 인한 안전관리자 미선임 시, 관계수급사에 과태료 부과.",건설업 안전관리
147,주계약자 관리 방식의 안전관리자 선임 기준,주계약자의 공사금액 기준으로 안전관리자 선임 여부 결정됨.,건설업 안전관리
150,건설업 본사에서 안전관리자 선임 필요 여부,본사는 안전관리자 선임 대상에 포함되지 않음.,건설업 안전관리
151,건설업 도급사업의 안전관리자 선임 기준,원도급과 관계수급인 각각 공사금액 기준에 따라 안전관리자 선임 필요.,건설업 안전관리
153,"500명 사업장에서 A사 250명, B사 250명일 경우 안전관리자 선임",도급사업에서 수급인 근로자 합산 시 300인 초과하면 안전관리자 선임 필요.,건설업 안전관리
154,안전관리자 선임 기준과 재해예방 기술지도 적용,안전관리자와 재해예방지도 모두 해당할 경우 각각 적용.,건설업 안전관리
155,토목공사 현장 협력사 안전관리자 추가 선임 기준,협력사 공사 중단 시 해당 공사금액은 원청에서 추가 선임 필요 없음.,건설업 안전관리
156,발주처와의 소규모 계약 안전관리자 선임 기준,총 공사금액이 120억 이하인 경우 안전관리자 공동선임 가능.,건설업 안전관리
165,발전소 건설공사의 장기계속공사 여부 및 안전관리자 선임 기준,공사 착공 시점에 따라 해당 규정이 적용되며 장기계속공사의 경우 예외 조항 있음.,건설업 안전관리
166,안전관리자 선임 기준 및 적용 여부,"음식료품제조업 원청에서 안전관리자를 직접 채용, 전담 선임하는 것은 적법함.",건설업 안전관리
177,위탁 현장의 안전관리자 풀타임 근무 필요 여부,안전관리자는 전일제(8시간) 근무가 바람직함.,건설업 안전관리
180,300명 이상 사업장의 안전관리자 선임 자격,전담 안전관리자는 안전관리 업무 외 타업무 불가.,건설업 안전관리
250,건설업 본사의 안전보건관리규정 작성 필요 여부,본사의 상시근로자 수가 100명 이상인 경우 작성 필요.,건설업 안전관리
454,문화재 발굴 공사의 안전관리비 계상 여부,문화재 발굴 작업은 건설공사로 분류되지 않으며 안전관리비 계상은 필요하지 않음.,건설업 안전관리
535,산업안전보건관리비 적용 여부,단일 공사금액이 4천만원 이상인 전기공사는 안전보건관리비 적용 대상임.,건설업 안전관리
542,공사실적액에 따른 안전관리 책임 여부,"재해건수는 하도급 업체로 배분되지만, 안전관리책임은 도급인도 있음.",건설업 안전관리
1,공립학교에서 산업안전보건법 위반 시 처벌대상은 누구인가요?,"공립학교의 경우 지방자치단체가 사업주로 간주되며, 위반 시 지방자치단체의 장이나 교육감이 처벌 대상이 됩니다.",공공기관/공무원 관련
3,공무원이 산업안전보건법의 근로자에 해당하나요?,산업안전보건법상 공무원도 근로자로 포함되어 해당 법의 보호를 받습니다.,공공기관/공무원 관련
10,검역본부의 산업안전보건법 적용 산업분류는 무엇인가요?,검역본부는 농업 및 수의업 관련 지원 관리 행정을 수행하는 것으로 간주됩니다.,공공기관/공무원 관련
13,지방자치단체의 사업장은 어떻게 구분되나요?,"일반적으로 하나의 사업장으로 간주되지만, 장소적 분리와 노무관리 독립성이 있으면 별개의 사업장으로 볼 수 있습니다.",공공기관/공무원 관련
14,항공사에 대한 산업안전보건법 적용 범위는 어떻게 되나요?,"항공기의 운항 중에는 항공안전법이 우선 적용되며, 지상 업무에는 산업안전보건법이 적용됩니다.",공공기관/공무원 관련
17,공공근로사업 참여자는 산업안전보건법의 적용을 받나요?,공공근로사업 참여자는 지방자치단체의 사업주에 따라 산업안전보건법의 적용을 받습니다.,공공기관/공무원 관련
20,지방자치단체의 공공근로사업에 대한 산안법 적용 여부는?,지방자치단체가 하나의 사업장으로 간주되어 산안법이 적용됩니다.,공공기관/공무원 관련
28,공공근로사업에 참여하는 근로자는 어떤 규정을 적용받나요?,"지방자치단체에 속해 있으며, 산업안전보건법에 따라 보호받습니다.",공공기관/공무원 관련
34,지방자치단체의 상수도사업본부는 어떤 업종에 해당하나요?,"상수도사업본부는 수도업으로 분류되며, 전체 소속 근로자를 상시근로자수로 산정합니다.",공공기관/공무원 관련
35,국가정보자원관리원의 업종은 무엇인가요?,"국가정보자원관리원은 '컴퓨터 프로그래밍, 시스템 통합 및 관리업'에 해당합니다.",공공기관/공무원 관련
38,OO남도의 사업장 적용 범위는 어떻게 판단하나요?,"지방자치단체의 경우, 전체 관할 구역이 하나의 사업장으로 판단됩니다.",공공기관/공무원 관련
43,식품의약품안전평가원의 업종은 무엇인가요?,식품의약품안전평가원은 '기타 과학기술 서비스업'으로 분류됩니다.,공공기관/공무원 관련
66,우정사업정보센터의 업종은 무엇인가요?,"우정사업정보센터는 '컴퓨터 프로그래밍, 시스템 통합 및 관리업'으로 분류됩니다.",공공기관/공무원 관련
68,산학협력단의 산업안전보건법상 사업주는 누구인가요?,"산학협력단은 독립된 법인으로 설립된 주체로, 자체 소속 근로자에 대한 사업주로 봅니다.",공공기관/공무원 관련
70,보건소는 지방자치단체 본청과 별개의 사업장으로 볼 수 있나요?,보건소가 독립적으로 운영되며 다른 장소에서 운영되는 경우 별개의 사업장으로 볼 수 있습니다.,공공기관/공무원 관련
84,우정사업본부 소속 운전직 공무원은 현업업무 종사자인가요?,우정사업본부 소속 운전직 공무원은 차량 유지관리를 주된 업무로 할 경우 현업업무 종사자입니다.,공공기관/공무원 관련
98,교육청의 안전보건관리책임자 지정 가능 여부,교육청 운영의 총괄 권한을 가진 교육감이 책임자여야 함.,공공기관/공무원 관련
101,지방자치단체의 사업장 단위 안전보건관리책임자 선임 기준,지방자치단체는 독립된 사업소가 있으면 해당 사업소를 별개의 사업장으로 봄.,공공기관/공무원 관련
102,전력사업처와 전력관리처의 안전보건관리책임자 선임 가능 여부,지역본부와 물리적 근무 공간이 분리되고 독립된 권한이 있으면 별도 선임 필요.,공공기관/공무원 관련
103,국방과학연구소의 부설기구에 별도의 안전보건관리책임자 가능 여부,부설기구가 독립된 장소와 운영을 가지면 별도의 안전보건관리책임자 선임 가능.,공공기관/공무원 관련
107,지방자치단체의 사업장 안전보건관리자 선임 의무,지자체는 상시근로자가 300명 이상인 사업장에 안전보건관리자를 선임해야 함.,공공기관/공무원 관련
110,교차로의 지자체 운영 시설 안전보건 관리범위,공공도로의 교차로 시설은 지자체가 운영 및 안전보건 조치 의무를 부담함.,공공기관/공무원 관련
114,교육지원청에서 관리감독자 지정 가능 여부,학교급식업무를 직접 지휘 감독하는 자가 관리감독자에 해당됨.,공공기관/공무원 관련
170,상수도사업본부 안전관리자 선임 기준,수도업은 전체 소속 근로자를 상시근로자수로 산정하며 안전관리자 선임 대상임.,공공기관/공무원 관련
190,지방자치단체에서 안전관리자 선임 시 상시근로자 수 산정 방법,현업업무종사자만을 상시근로자 수에 포함하여 안전관리자 선임 기준에 적용해야 함.,공공기관/공무원 관련
111,관리감독자 업무의 대리 수행 가능 여부,관리감독자가 부재 시 해당 직무를 대리로 지정하여 관리감독자 역할을 수행할 수 있음.,관리감독자 역할
112,관리감독자의 부재 시 상급자가 업무를 대행하는지 여부,산업안전보건위원회 합의 시 선임장 이상이 대행할 수 있음.,관리감독자 역할
113,우체국시설관리단의 현장소장이 없는 사업소에서 관리감독자 역할 수행 여부,소속 직원 직접 지휘 감독하는 자를 관리감독자로 볼 수 있음.,관리감독자 역할
116,1인 사업소의 관리감독자 상주 필요 여부,관리감독자는 반드시 현장에 상주할 필요는 없으나 소속 직원을 지휘 감독해야 함.,관리감독자 역할
117,관리감독자 업무의 일부 위임 가능성,하위 직원에게 일부 업무를 위임하고 관리감독자가 최종 확인하는 방식 가능.,관리감독자 역할
118,안전보건관리체제에서 원청과 하청의 관리감독자 역할 분담 기준,도급 관계에 따라 각 사가 별도의 관리감독자를 선임해야 함.,관리감독자 역할
119,공동주택관리법에 따른 관리감독자 범위,관리사무소 소장 또는 팀장급 인원이 생산 관련 업무를 지휘 감독하는 자로 판단됨.,관리감독자 역할
120,산업안전보건법의 적용 범위에 따른 관리감독자 지정 필요성,"모든 사업장에 적용되며, 생산 관련 업무를 수행하는 자는 관리감독자로 지정 가능.",관리감독자 역할
168,지정받은 사항 외 관리감독자 컨설팅 수행 가능 여부,법정 지정 인원을 준수하여 지정된 인력만이 업무 수행 가능함.,관리감독자 역할
260,근로자가 위험성평가를 이수한 경우 관리감독자 교육 이수로 볼 수 있는지,"위험성평가 교육을 이수한 경우, 일부 관리감독자 교육으로 인정될 수 있음.",관리감독자 역할
4,복수노조 사업장에서 근로자대표는 어떻게 선출하나요?,"과반수 노조가 없을 경우, 민주적 절차에 따라 다수 득표자를 근로자대표로 선출할 수 있습니다.",근로자 대표 선출
5,교육청의 근로자대표는 누구로 선출해야 하나요?,"학교의 현업업무 종사자 중 민주적 절차로 선출된 근로자대표가 적합하며, 모든 현업 근로자를 대표해야 합니다.",근로자 대표 선출
6,근로자대표 선출 시 사용자는 개입할 수 있나요?,"사용자는 근로자대표 선출에 개입할 수 없으며, 자율적 의사에 따른 선출이 이루어져야 합니다.",근로자 대표 선출
19,근로자대표 선출의 민주적 절차란 무엇인가요?,근로자 과반수의 지지를 받는 방식으로 자유롭게 선출하는 절차를 의미합니다.,근로자 대표 선출
25,근로자대표 선출 시 사용자의 입증 요구가 가능한가요?,"근로자대표 선출에 있어 사용자의 개입은 허용되지 않으며, 자율적 결정이 중요합니다.",근로자 대표 선출
30,근로자대표 선출에서 자율적 절차란 무엇인가요?,"근로자들의 자유로운 의사에 따른 선출로, 민주적 절차를 준수해야 합니다.",근로자 대표 선출
202,과반수 노조가 없는 경우 근로자대표 선정 절차,"근로자 과반수가 직접 선출한 대표가 있어야 하며, 노조 대표들만의 합의는 인정되지 않음.",근로자 대표 선출
214,산보위 근로자대표 선거 투표권 기준일,근로자대표 선거일 전 자율적으로 기준일을 정하여 공고.,근로자 대표 선출
215,근로자대표 선출을 위한 선거 절차,근로자전체에 주지시키고 민주적 절차에 따른 선출 방식 필요.,근로자 대표 선출
216,근로자대표 권한의 위임 가능 여부,근로자대표의 권한은 일신전속적 성격으로 위임 불가.,근로자 대표 선출
219,근로자대표 다수 선출 가능 여부,"민주적 절차에 따라 복수 근로자대표 선출 가능하나, 합의된 대표권 행사 필요.",근로자 대표 선출
220,산업안전보건위원회 근로자대표 선출 방식,민주적 절차에 따라 과반 지지를 얻는 자율적 선거 방식으로 선출 가능.,근로자 대표 선출
221,산보위 근로자대표 선출 관련 규정,"근로자의 과반수로 조직된 노동조합이 없는 경우, 민주적 절차로 근로자대표 선출 필요.",근로자 대표 선출
224,근로자대표 선출 시 과반수 노조 없는 경우 절차,전체 근로자에게 권한과 선출 절차 통지 후 민주적 절차로 선출.,근로자 대표 선출
226,사업장 내 과반노조가 없을 시 근로자대표 선정 방법,전체 근로자 통지 및 자율적 민주적 방법으로 근로자대표 선출.,근로자 대표 선출
232,산업안전보건위원회 근로자대표의 선출 방식,"과반수 노조가 없는 경우, 자율적 민주적 절차로 근로자대표를 선출해야 함.",근로자 대표 선출
247,근로자대표 물리적 과반수 동의 필요 여부,근로자대표는 민주적 절차에 따라 과반수 대표성을 인정.,근로자 대표 선출
286,산업안전보건법 제36조에 따른 근로자 참여 기준,사업주는 위험성평가를 실시할 때 해당 작업에 종사하는 근로자를 참여시켜야 함.,근로자 참여
289,굴삭기 안전기준 적합성 여부,"굴삭기의 주된 용도에 맞게 사용하는 경우 적법하며, 근로자에게 위험이 없는 경우 허용됨.",기계 및 설비 안전
291,테이블리프트 작업 시 안전난간대 설치와 보호구 착용 여부,안전난간대를 설치했어도 작업자는 안전모와 안전대를 착용해야 함.,기계 및 설비 안전
292,굴삭기를 주 용도 외 인양작업에 사용 시 법 위반 여부,제조업체의 인양장치를 사용한 경우 주 용도 외 사용으로 간주되지 않음.,기계 및 설비 안전
295,고정식 사다리 안전조치 기준,사다리 상단은 바닥에서 60cm 이상 높게 설치해야 함.,기계 및 설비 안전
296,가설구조물 설치 시 안전성 평가 필요 여부,구조물 설치 시 붕괴 방지를 위한 안전성 평가 필요.,기계 및 설비 안전
297,안전방망 설치 기준,수직보호망이 완전히 설치된 경우 낙하물방지망 매 10미터마다 설치 불필요.,기계 및 설비 안전
299,리볼빙 크레인 작업자 탑승 안전 기준,전용 탑승설비 설치 및 추락방지 조치 시 탑승 가능.,기계 및 설비 안전
301,전기기계 금속제 외함의 접지 의무,금속제 외함에 접지를 실시하여 감전 위험 방지해야 함.,기계 및 설비 안전
302,비상구 설치 예외 규정,비상구 설치 여부는 위험성 평가 결과에 따라 고려해야 할 사항임.,기계 및 설비 안전
303,이동식사다리 작업 시 안전조치,일자형 사다리 사용 시 안전대를 착용하는 등 추락방지 조치를 하면 사용 가능함.,기계 및 설비 안전
304,타워크레인을 사용한 갱폼 인양작업 가능 여부,"갱폼 인양작업은 가능하나, 바닥에 끌리지 않도록 해야 함.",기계 및 설비 안전
305,타워크레인을 이용한 인명구조 가능 여부,전용 탑승설비가 설치된 경우 인명구조 가능함.,기계 및 설비 안전
306,계단의 발끝막이판 설치 기준,발끝막이판은 바닥에서 10cm 이상 높이로 유지해야 함.,기계 및 설비 안전
307,수직사다리 설치 기준,수직사다리가 10미터 이상일 경우 5미터마다 계단참을 설치해야 함.,기계 및 설비 안전
308,타워크레인 운영 시 반경 내 근로자 통제 여부,중량물 인양 중 이동구간에 한해 근로자 출입 통제 필요.,기계 및 설비 안전
309,양중기 사용 시 안전계수,화물의 하중을 지지하는 달기와이어로프는 안전계수 5 이상을 유지해야 함.,기계 및 설비 안전
310,A형 사다리를 이용한 고소작업 시 벌칙조항,작업발판을 설치하지 않은 경우 안전작업지침을 위반한 것으로 행정조치 가능함.,기계 및 설비 안전
311,수직사다리 등받이울 설치 기준,고정식 사다리가 7미터 이상일 경우 등받이울을 2.5미터 높이부터 설치해야 함.,기계 및 설비 안전
312,기중기의 항타작업 가능 여부,기중기는 건설기계관리법에 따른 형식변경 신고 후 항타작업 가능.,기계 및 설비 안전
313,말비계 사용 시 안전조치 적용 범위,조립된 말비계를 구매하여 사용할 경우에도 안전조치 규정을 준수해야 함.,기계 및 설비 안전
314,배전반 On-Off 작업 시 작업계획서 작성 필요 여부,단순 On-Off 작업은 작성 필요 없으나 감전 방지를 위한 보호구 착용 필요.,기계 및 설비 안전
315,섬유로프 클립 사용 기준,"섬유로프에는 와이어 클립 사용 불가, 와이어로프에만 사용 권장됨.",기계 및 설비 안전
316,중량물 이동 시 유도로프 사용 여부,"유도로프 사용이 법적 의무는 아님, 안전을 위해 현장에서 주로 사용됨.",기계 및 설비 안전
317,타워크레인 작업관리 방법,타워크레인의 동작 상태를 촬영해 관리하는 방식은 법 위반 아님.,기계 및 설비 안전
318,시스템 동바리 가새재 설치 기준,구조계산서에 가새재가 없으면 설치하지 않아도 됨.,기계 및 설비 안전
319,골프카트의 차량계 하역운반기계 정의 여부,골프카트는 차량계 하역운반기계에 해당됨.,기계 및 설비 안전
320,타워크레인의 콘크리트 양중 작업 가능 여부,콘크리트 양중 가능하나 낙하 방지 등의 조치 필요.,기계 및 설비 안전
321,승강기 작업 시 작업지휘자 선임 기준,"승강기 설치, 조립 등 작업 시 작업지휘자 선임 후 관리 필요.",기계 및 설비 안전
323,외줄걸이 방식으로 철근 인양 시 법 위반 여부,철근을 두 군데 이상 묶어 수평으로 운반해야 함.,기계 및 설비 안전
324,관로 터파기 기울기 시공방법,지반의 종류에 맞는 기울기에 맞게 굴착해야 함.,기계 및 설비 안전
326,승강기 작업지휘자 선임 기준,다수의 승강기에 대해 실질적 작업 지휘가 가능하다면 1명 선임 가능.,기계 및 설비 안전
327,파이프서포트 고정 방법,파이프서포트는 바닥면에 고정하여 움직이지 않도록 해야 함.,기계 및 설비 안전
328,가설기자재의 안전인증 표기 기준,인증 받은 제품 단위로 안전인증 표시 가능함.,기계 및 설비 안전
329,고공작업 현장 보행로에 안전통행로 설치 필요 여부,추락방호망 등 기존 규정에 따른 조치 우선.,기계 및 설비 안전
330,굴착기 용도 외 사용 가능 여부,부착물 용도로 사용한 것이라면 법위반으로 단정하기 어려움.,기계 및 설비 안전
332,유압인양 시스템(ACS 폼 등)에 비계를 쌓아 작업 가능한지 여부,작업발판 일체형 거푸집의 경우 구조검토 시 비계 하중을 고려하여 안전성 확인 필요.,기계 및 설비 안전
333,작업발판 구조에서 재료 간 틈새 기준,작업발판 설치 시 재료 간 틈은 3센티미터 이하로 유지해야 함.,기계 및 설비 안전
334,건설장비 사용 시 신호수 배치 기준,건설기계가 넘어지거나 근로자가 부딪힐 위험 시 신호수 배치 필요.,기계 및 설비 안전
336,굴삭기의 인양작업 사용 여부,굴삭기 제조시 인양용 부착물이 있으면 인양작업 사용 가능.,기계 및 설비 안전
338,원청의 타워크레인 위험작업 강요 문제,원청은 타워크레인 작업 시 안전점검과 작업계획서 이행 확인 필요.,기계 및 설비 안전
339,불법 구조변경된 굴착기 사용 문제,법령을 위반한 구조변경 굴착기는 목적 외 사용으로 간주됨.,기계 및 설비 안전
341,승강기 자체점검 시 작업 지휘자 선임 필요 여부,"승강기 설치·점검 시 작업 지휘자 선임 필요, 미준수 시 벌금 부과 가능.",기계 및 설비 안전
342,차단기 충전부 방호절연 안전덮개 설치 여부,충전부에 방호망이나 절연덮개를 설치해야 함.,기계 및 설비 안전
344,동력으로 작동되는 문에 비상정지스위치 설치 기준,지면으로부터 2.5미터 이내의 높이에 비상정지장치를 설치해야 함.,기계 및 설비 안전
345,작업계획서 작성 주체,야간에는 관리감독자를 추가 임명하여 작업계획서를 작성해야 함.,기계 및 설비 안전
346,동력문 비상정지스위치 설치 주체,사업주가 비상정지스위치를 설치해야 함.,기계 및 설비 안전
347,이동식 사다리 안전작업지침의 법적 근거,이동식 사다리 안전작업지침은 행정조치 등의 처분이 가능함.,기계 및 설비 안전
349,2인 1조 작업의 법적 규정 여부,산업안전보건법에는 2인 1조 작업의 명시적인 규정이 없음.,기계 및 설비 안전
352,하역운반기계용 출입구 안전조치 기준,하역운반기계용 출입구는 출입구 크기와 사용 목적에 따라 보행자 출입 제한.,기계 및 설비 안전
354,불법 탑승설비 부착 이동식 크레인의 규제,이동식 크레인에 탑승설비를 부착하는 행위는 안전검사와 규정을 위반함.,기계 및 설비 안전
360,산업안전보건관리 규정상 사다리 사용 기준,이동식 사다리의 작업 높이가 3.5미터를 초과하지 않도록 사용.,기계 및 설비 안전
361,일자형 사다리의 설치 높이와 안전 사용 규정,오르내리는 용도로 사용 시 넘어짐 방지 조치를 준수하여야 함.,기계 및 설비 안전
362,헬리바스켓을 통한 근로자 운송 가능 여부,산업안전보건법에서 별도 제한이 없으나 안전 조치 준수 필요.,기계 및 설비 안전
363,지게차 운전대 노브 부착 제한 여부,노브 사용을 금지하는 규정은 없으나 사고 위험으로 인해 권고함.,기계 및 설비 안전
364,이동식 크레인 양중 시 안전대 고리 사용 가능 여부,일정 시험성능기준 범위 내에서 안전대 고리를 사용 가능.,기계 및 설비 안전
365,철제 배전함 접지 필요 여부,철제 배전함은 금속제 외함에 해당하여 접지가 필요함.,기계 및 설비 안전
366,발판 사다리 설치 시 폭 기준,사다리식 통로의 폭은 300mm 이상으로 해야 함.,기계 및 설비 안전
367,고용노동부 장관이 통로에 장애물 설치를 인정하는 경우,통로의 구조와 장애물의 설치 필요성을 고려하여 판단함.,기계 및 설비 안전
368,분전반의 방호조치 필요 여부,2003년 이후 설치된 분전반은 방호조치가 필요함.,기계 및 설비 안전
369,스마트 기술을 이용한 에너지원 차단 가능 여부,스마트 기술을 통해 차단 가능하나 기술 오류 방지 필요.,기계 및 설비 안전
370,승강기 조립 시 작업지휘자의 역할,"작업 방법, 근로자 배치, 안전대 착용 상황 감시가 필요함.",기계 및 설비 안전
415,건설용 리프트 마스트 연장작업의 안전 점검,작업 전 합동 안전점검이 필요함.,기계 및 설비 안전
418,강박스의 밀폐공간 해당 여부,빗물 등이 들어갈 수 있는 구조인 경우 밀폐공간으로 간주.,기계 및 설비 안전
530,인터넷 설치기사의 감전 위험 장소 해당 여부,전신주에서의 작업은 감전 위험이 있는 장소로 간주됨.,기계 및 설비 안전
