,Inputs,response,category
416,도급사업에 대한 도급인의 책임 조건,도급인 사업장 내에서 공사를 설계하고 총괄 관리하는 경우 책임 발생.,하청/도급 관련
417,건설공사 도급인의 합동 안전점검 요건,기계 소유자와 합동 안전점검 필요하며 대리인 가능.,하청/도급 관련
419,산업안전보건법상 합동 안전보건점검 필요 조건,작업 당일 진행 중인 모든 작업에 대해 점검 필요.,하청/도급 관련
420,도급인의 안전대 착용 관련 책임 여부,관계수급인 근로자가 안전대 미착용으로 재해 발생 시 도급인 책임 있음.,하청/도급 관련
421,OO물류창고 화재 시 하도급인 책임,재하도급 업체 근로자 사망 시 하도급인에게 안전보건 의무 있음.,하청/도급 관련
423,보호구 착용 지시 시 도급인의 책임 범위,관계수급인 근로자에 대한 보호구 착용 지시는 도급인에게도 책임 있음.,하청/도급 관련
424,승강기 유지보수 작업 시 도급인의 안전조치 의무 여부,"승강기 유지보수는 도급 작업에 포함되며, 안전조치 필요.",하청/도급 관련
425,도급인의 근로자와 수급인의 근로자가 작업을 같이하는 경우 책임 범위,도급인 사업장에서 수급인 근로자가 작업할 때 도급인에게 안전조치 의무 발생.,하청/도급 관련
427,산업안전보건법상 도급인의 정의,"자신의 업무를 타인에게 맡기는 계약으로, 용역이나 위탁 등 모든 계약 포함됨.",하청/도급 관련
428,공공기관의 도급계약 시 안전보건조치 의무,공공기관은 모든 사업에서 수급인 근로자에 대한 안전보건조치 의무 있음.,하청/도급 관련
429,사업장 내 자회사의 도급작업에 대한 도급인 책임,자회사 근로자의 작업 장소가 도급인의 사업장 내에 있다면 도급인에게 책임 발생.,하청/도급 관련
430,임대계약으로 제공된 사업장 내 도급인의 안전조치,임대 형식으로 제공된 공간에서의 작업은 도급인의 안전보건조치 의무 대상.,하청/도급 관련
431,지방자치단체의 건설공사 도급 시 안전보건조치 범위,"지자체도 도급인이며, 도급공사에 대한 안전보건조치 의무를 준수해야 함.",하청/도급 관련
432,중층적 하도급 관계에서 안전보건조치 주체는 누구인지,도급인은 관계수급인 근로자가 도급인의 사업장에서 작업할 경우 안전보건조치 의무가 있음.,하청/도급 관련
433,적격수급인 선정 시 운송업도 평가 대상에 포함되는지 여부,회사의 사업목적과 관련된 운송업도 도급에 해당될 경우 안전보건수준 평가 대상임.,하청/도급 관련
434,백화점의 계약 형태에 따른 도급 여부,입점업체와의 계약이 산업안전보건법상 도급으로 판단될 경우 상시근로자 수에 포함됨.,하청/도급 관련
435,수급인 근로자에 대한 도급인의 직접적 지시 가능 여부,도급인은 관계수급인 근로자의 안전보건조치를 위해 직접 개선조치 및 지시 가능.,하청/도급 관련
436,인터넷 회선 개통 업무의 도급 관계 및 책임 주체,인터넷 회선 개통은 전기통신업으로 분류되며 도급인은 관계수급인 근로자의 안전보건조치 의무가 있음.,하청/도급 관련
437,사무업무에 대한 도급 시 안전보건조치 의무 여부,사무직에 종사하는 경우 산업안전보건법 일부 적용 제외 가능함.,하청/도급 관련
438,소방시설공사업법에 따른 감리 용역의 도급 여부,"감리 용역도 산업안전보건법상 도급에 해당되며, 산업재해 예방조치 의무가 있음.",하청/도급 관련
439,화학물질 유상사급 제공 시 도급인 안전보건조치 의무 여부,"화학물질의 소유권을 양도한 경우, 물질안전보건자료 제공 의무가 있음.",하청/도급 관련
441,발전소 계획예방정비 도급 시 도급인과 발주자의 의무 차이,발전소 운영주체가 도급인에 해당하며 시공 총괄 시 건설공사발주자 의무는 별도 적용 안 됨.,하청/도급 관련
442,사무직만 사용하는 사업장 도급인의 안전조치 의무 여부,사무직 근로자만 사용하는 경우 안전조치 의무 제외됨.,하청/도급 관련
443,공공기관 임대 식당 도급 여부,공공기관 직원 복리후생시설로 운영되는 경우 도급으로 간주.,하청/도급 관련
444,적격 수급인 선정 시점과 평가 기준,입찰 단계에서 안전수준 평가를 통해 선정해야 함.,하청/도급 관련
445,도로 위 배관 유지보수 시 사업장 여부,도로상의 배관 유지관리 구간은 사업장으로 간주됨.,하청/도급 관련
446,관계수급인 근로자 직접적 지시 가능 여부,안전보건조치 일환의 지시는 가능하며 파견법 위반 아님.,하청/도급 관련
447,산안법과 건진법 상 점검 통합 가능 여부,원칙적으로 불가하나 통합 점검표 사용 시 가능.,하청/도급 관련
448,도급 사업장 내 안전점검표 일원화 가능 여부,양 법상 점검 항목을 모두 포함할 경우 일원화 가능.,하청/도급 관련
449,임대 식당의 복리후생시설 여부,복리후생시설로서 직원 이용 주체에 따라 도급 해당.,하청/도급 관련
450,하도급 건설업체 적격수급인 기준,각 단계별 적격 수급인 선정 의무가 있음.,하청/도급 관련
451,도시가스 배관 유지 시 안전보건조치 의무,"측량, 탐측 작업 도로 구간은 도급인의 사업장으로 판단.",하청/도급 관련
452,순회점검과 건설기술진흥법 상 안전점검 동시 실시 가능 여부,"산업안전보건법 제64조에 따라 순회점검과 안전점검을 동시에 실시할 수 있으며, 필요 시 별도 기록을 보관해야 함.",하청/도급 관련
453,가스계량기 교체 작업 중 안전보건조치 책임 주체,"가스계량기 교체 업무를 위탁한 경우에도 고객의 집 내에서 작업하는 경우, 도급인의 지배관리 의무가 제한될 수 있음.",하청/도급 관련
455,택배사와 집배점 간 위수탁 계약의 도급 여부,"택배업무를 위수탁 계약으로 진행하는 경우 도급에 해당하며, 안전조치 의무가 있음.",하청/도급 관련
457,산업안전보건관리비 계상의 대상 사업장 구분,공사금액 2천만 원 이상인 건설공사에 산업안전보건관리비 계상 필수.,하청/도급 관련
458,마트 내 특약매입거래 형태의 도급 여부,마트에서의 특약매입거래 형태는 도급으로 간주되며 안전조치 의무가 부과됨.,하청/도급 관련
459,산업안전보건법 상 도급인 위험작업 조정의무 의미,도급인은 수급인의 작업 위험성 확인 후 필요 시 작업 조정을 실시해야 함.,하청/도급 관련
460,레미콘 자재 구매 용역의 도급 여부,"레미콘 공급을 위한 계약이 도급에 해당되며, 안전조치 의무 있음.",하청/도급 관련
461,도급사업 순회점검 주기 기준,"제조업 도급인의 경우, 2일에 1회 순회점검을 실시해야 함.",하청/도급 관련
462,도급사업주가 책임을 부담하는 도급인 사업장의 범위,관계수급인의 근로자가 도급인의 사업장에서 작업하는 경우 도급인의 안전보건조치 의무가 있음.,하청/도급 관련
463,래미콘 자재구매용역 도급인 책임 여부,"레미콘을 공급하기 위한 계약은 도급에 해당하며, 품질 관리 책임을 도급인이 가짐.",하청/도급 관련
464,지방국토관리청과 한국OOOO의 ITS업무 대행 도급 여부,ITS업무 대행 계약은 도급으로 간주되지 않음.,하청/도급 관련
465,한국OOOO 검침 자회사 도급인 안전조치 여부,"검침 업무는 도급에 해당하며, 안전조치 의무가 있음.",하청/도급 관련
466,공공임대사업자가 공동주택 관리업무 위탁 시 도급 여부,"공동주택 관리 위탁은 도급에 해당하여, 안전보건조치 필요함.",하청/도급 관련
467,수급인에게 설비를 대여한 경우 도급인 책임 여부,설비를 대여하더라도 도급인의 지배 하에 있으면 안전보건조치 의무가 발생함.,하청/도급 관련
468,도급인의 안전관리 의무,보호구 착용 지시와 작업행동 관련 지시는 안전보건조치의 일환으로 가능함.,하청/도급 관련
469,"수질측량, 조사 용역의 도급인 책임 여부",수질 조사 등 용역업무는 도급에 해당하여 안전보건조치 필요.,하청/도급 관련
470,중고장비 구입 후 해체작업의 도급 여부,장비 반출을 위한 해체 작업은 도급에 해당하며 안전보건조치 의무 있음.,하청/도급 관련
471,복지시설 위탁 계약의 도급 해당 여부,"복지시설 위탁은 도급에 해당하며, 도급인의 안전보건조치가 필요함.",하청/도급 관련
472,도급사업주가 책임을 부담하는 도급인 사업장의 범위,도급인은 도급인이 제공하거나 지정한 장소에서 수급인 근로자의 안전조치 의무를 부담함.,하청/도급 관련
473,래미콘 자재구매용역 도급인 책임 여부,레미콘 공급 의뢰 시 도급인이 특정 장소를 지정하여 작업하는 경우 안전조치 의무 있음.,하청/도급 관련
474,한국OO의 검침 자회사 도급인 안전조치 여부,검침 업무의 위탁 계약 시 도급인으로서 안전조치 의무 발생.,하청/도급 관련
475,원거리 수급업체에 대한 순회점검 가능 여부,안전관리전문기관에 위탁하여 순회점검을 실시 가능하며 결과 확인 필요.,하청/도급 관련
476,"시설, 설비 임대 시 도급 적용 여부",임대한 설비에 대해 도급인은 안전조치를 포함한 책임을 가짐.,하청/도급 관련
477,공공임대사업자가 공동주택 관리업무 위탁 시 도급 여부,공공임대사업자는 관리업무 위탁 시 도급인에 해당.,하청/도급 관련
478,도급인 없이 작업하는 임차인의 안전조치 범위,시설 사용자의 안전조치 의무는 작업장 내 안전 설비의 유지 관리 범위에 있음.,하청/도급 관련
480,도급사업자 순회점검 기준,도급인은 수급인 사업장과의 거리와 무관하게 2일에 1회 이상 순회점검 필요.,하청/도급 관련
481,복지사업 위탁업무의 도급 여부,소속 직원 복리시설 위탁 시 도급으로 판단되어 도급인이 안전조치 의무 부담.,하청/도급 관련
482,여러 사업장의 도급계약을 일괄로 체결 시 도급인 책임 범위,각 사업장은 개별 사업장으로 간주되어 안전보건조치는 해당 사업장의 안전보건총괄책임자가 책임짐.,하청/도급 관련
483,"하천구간 수질측량, 조사 용역의 도급인 책임 여부",용역이 도급인의 관리구역에서 진행된다면 도급인의 안전보건조치 의무가 있음.,하청/도급 관련
485,용역 계약이 산업안전보건법상 도급에 해당하는지 여부,용역이 건설공사와 관련 있거나 현장에서 작업이 이루어지면 도급에 해당하고 도급인의 안전보건조치 필요.,하청/도급 관련
486,수급인 사무실에서만 진행되는 용역도 도급에 포함되는지,도급인의 사업장이 아닌 수급인의 사무실에서 독립적으로 작업할 경우 도급인의 책임 범위에 포함되지 않음.,하청/도급 관련
487,도급사업 시 관계수급인 시정조치 가능 여부,"도급인은 관계수급인이 법 위반 시 시정조치를 할 수 있으며, 관계수급인은 정당한 사유 없이 이를 따라야 함.",하청/도급 관련
488,마트 내 특약매입거래 형태의 도급 여부,"마트와 납품업자가 도급 계약을 맺은 경우, 마트는 판촉사원에 대한 안전보건조치를 하여야 함.",하청/도급 관련
489,국가 소유 건물에 에어컨 설치 작업 시 도급인의 책임 여부,도급인이 지배 관리하는 장소가 아닌 경우 도급인의 안전보건조치 의무가 발생하지 않음.,하청/도급 관련
490,건설현장에서 다양한 용역작업의 도급 여부 판단 기준,건설공사와 직간접 관련이 있는 용역은 도급에 해당하며 도급인의 안전보건조치 의무가 있음.,하청/도급 관련
491,중고장비 구입 후 해체작업이 도급에 해당하는지 여부,"장비 반출을 위해 해체작업이 이루어지는 경우 도급에 해당하고, 도급인의 안전보건조치 의무가 있음.",하청/도급 관련
492,수급업체 규모에 따른 도급인 책임 여부,산업안전보건법 제64조에 따라 사업장의 규모와 관계없이 도급인의 책임이 적용됨.,하청/도급 관련
493,은행소유 건물의 영업점이 건물관리를 위탁한 경우 도급인 책임 여부,금융회사가 소유한 건물 관리 업무도 도급인의 산재예방 책임에 해당함.,하청/도급 관련
494,도급사업 순회점검 실시주기 사업종류 판단 기준,"표준산업분류에 따라 제조업은 2일 1회, 기타 업종은 주 1회 이상 점검.",하청/도급 관련
495,운송기사 관련 도급협의체 운영 필요 여부,개별 지입기사는 도급협의체 운영 대상이 아님.,하청/도급 관련
496,화학물질 수입업체의 저장창고 도급인 안전보건조치 범위,도급인은 사업장 외 지역에서도 산업재해 예방조치를 이행해야 함.,하청/도급 관련
497,시공 총괄관리와 지배관리 의미 차이,"총괄관리는 시공작업 관리, 지배관리는 유해요인 통제 및 개선 관리로 다름.",하청/도급 관련
498,사무실 간식 서비스 제공 위탁계약의 도급 여부,직원 복지 목적으로 간식 서비스 제공 시 도급으로 간주됨.,하청/도급 관련
499,일시간헐적 작업 시 도급인 의무 범위,"30일 이내 일시 작업은 협의체 운영 제외, 그 외 조치는 필요함.",하청/도급 관련
500,24시간 연속 가동 설비의 작업장 순회점검 기준,2일 1회 순회점검을 근무일이 아닌 일수 기준으로 실시.,하청/도급 관련
501,3자물류 관계에서 도급 여부,"3PL 계약을 통한 물류 운영 위탁 시 도급으로 판단되며, 도급인 책임 있음.",하청/도급 관련
502,"시설운영을 위탁한 경우, 도급인으로서의 책임 여부",시설을 자회사에 위탁 운영하는 경우 도급인으로서 안전보건조치를 이행해야 함.,하청/도급 관련
503,안전보건협의체 회의의 정확한 의미,"도급 계약 전 회의 참석은 안전보건협의체 의무가 없으나, 계약 후 수급인은 협의체에 참여해야 함.",하청/도급 관련
504,적격수급인 평가를 위한 산업재해발생현황 서류 여부,고용노동부의 산업재해율 확인서를 통해 확인 가능.,하청/도급 관련
505,전자문서를 통한 안전보건 정보 제공 적절성,전산시스템을 통해 제공 시 도급인의 정보제공 의무로 간주됨.,하청/도급 관련
506,원거리 수급업체의 안전보건조치 방법,"안전관리 전문기관에 위탁하여 점검 가능하나, 합동점검 시 도급인의 참여 필요.",하청/도급 관련
507,태양광 발전소의 관리 위탁 시 도급인 책임,발주자가 관리·운영 업무를 총괄하는 경우 도급인의 책임 발생.,하청/도급 관련
508,사내 도급업체의 안전보건조치 대상 여부,"경비, 청소 등 관계수급인 작업에도 안전보건조치 의무 있음.",하청/도급 관련
509,위임한 안전근로협의체의 외부인 대표권 가능 여부,근로계약 관계 없는 외부인에게는 대표권 위임 불가.,하청/도급 관련
510,제3자 창고가 도급인의 사업장인지 여부,지배·관리 여부와 산업재해 위험성을 기준으로 판단하여 안전조치 필요 여부 결정.,하청/도급 관련
511,Pallet 사용 중 A업체의 지게차 사고 시 책임,물류센터에서 작업 중 사고 발생 시 물류센터의 책임 발생 가능.,하청/도급 관련
512,임대차 계약과 사용대차 계약이 도급에 해당하는지 여부,임대차 또는 사용대차 계약으로 수급인이 도급인의 사업장에서 도급인의 기계를 사용하면 도급에 해당하여 도급인의 안전보건조치 의무가 있음.,하청/도급 관련
513,항공사와의 지상조업 및 정비 서비스의 도급인 책임 여부,항공사가 작업장소를 제공하는 경우 항공사는 도급인으로서 안전보건조치를 수행해야 함.,하청/도급 관련
514,중층적 도급관계에서 1차 수급인의 2차 수급인 관리 의무,1차 수급인도 2차 수급인 근로자의 안전보건조치를 이행할 의무가 있음.,하청/도급 관련
516,사업장 외 설비를 매각한 경우 도급인의 관리 범위,"설비가 매각된 경우 도급인은 안전보건관리책임이 없으나, 통제 권한이 있으면 도급인의 책임이 발생할 수 있음.",하청/도급 관련
517,수급인 근로자에게 직접적 보호구 착용 지시 가능 여부,위험 시 도급인이 관계수급인 근로자에게 보호구 착용 등 직접 지시 가능.,하청/도급 관련
518,인허가 전 측량 작업의 도급 여부,측량이 시공구간 내에서 이루어지면 도급에 해당하여 도급인의 안전보건조치 의무가 있음.,하청/도급 관련
519,적격 수급인 선정 시 재해예방능력 평가 방법,나라장터 시스템을 통해 입찰한 경우에도 재해예방능력을 평가하여 계약에 반영해야 함.,하청/도급 관련
520,국가시설 유지보수 작업의 도급 여부,유지보수 작업이 공공기관의 업무에 포함되면 도급에 해당하여 도급인의 책임이 있음.,하청/도급 관련
521,공공기관이 유지보수 작업 중 사고 발생 시 책임 여부,실질적으로 시설을 지배･운영하는 경우 공공기관은 중대재해처벌법에 따른 책임이 발생할 수 있음.,하청/도급 관련
522,"편의점, 베이커리 카페 등의 도급 해당 여부",복리후생 목적으로 운영 시 산업안전보건법상 도급으로 간주됨.,하청/도급 관련
523,중층적 도급관계에서 협의체 구성 의무,1차 수급인은 2차 수급인 근로자에 대한 협의체 구성 의무 없음.,하청/도급 관련
524,특수구급차 운용 위탁용역 도급인 책임 여부,도급인으로서 안전보건협의체 구성 및 작업장 점검 필요함.,하청/도급 관련
531,고속도로 휴게소 도급인 여부,휴게소 운영은 고속도로 관리 주체가 도급인으로 판단됨.,하청/도급 관련
532,수퍼마켓 배송 업무의 도급 여부,"수퍼마켓 운영 회사가 운송업체에 배송업무를 위탁한 경우, 이는 도급에 해당하며 안전보건협의체 운영 및 순회점검 의무가 있음.",하청/도급 관련
533,시설관리공단의 안전근로협의체 구성 필요 여부,공공기관은 도급한 업무에 대해 하청업체와 안전근로협의체를 구성하고 운영해야 함.,하청/도급 관련
536,발전소 예방정비 공사 시 도급인의 책임,발주자가 공사의 시공을 주도할 경우 발주자에게 도급인의 책임이 부여됨.,하청/도급 관련
546,서비스센터 인테리어 공사 발주자 해당 여부,공사 시공을 주도하며 관리하는 경우 도급인으로 간주됨.,하청/도급 관련
547,건설공사와 분리 발주하는 용역사업의 도급 해당 여부,도급인은 분리 발주 용역에 대해 안전보건 조치 의무가 있음.,하청/도급 관련
548,상수도 배관 공사 발주자 여부,배관 설치가 사업 운영의 필수적 업무라면 도급인으로 간주됨.,하청/도급 관련
550,지자체 건설공사 발주자 여부,지자체가 도급한 필수적 업무인 경우 도급인으로 간주됨.,하청/도급 관련
551,저수조 청소 용역 계약 시 도급인 해당 여부,지자체 소유의 저수조 청소는 도급에 해당하여 안전보건 의무 발생.,하청/도급 관련
24,학교의 시설관리 근로자가 산안법 적용을 받나요?,시설관리와 같은 현업 업무 종사자는 산업안전보건위원회 등 산안법 규정을 적용받습니다.,학교 및 교육기관
31,국립학교에 대한 산업안전보건법의 사업장 단위는 무엇인가요?,국립학교는 각 학교가 독립된 업무처리 능력을 가진 독립된 사업장으로 판단됩니다.,학교 및 교육기관
41,교원이 현업업무종사자로 분류될 수 있는 경우는 언제인가요?,"주된 업무가 교육이 아닌 청소, 시설관리 등 유해성이 큰 업무를 수행할 경우 해당됩니다.",학교 및 교육기관
42,고등교육기관의 산업안전보건법 적용 여부는 어떻게 되나요?,"청소, 시설관리 등을 수행하는 경우에만 안전보건관리체제가 적용됩니다.",학교 및 교육기관
50,사립학교에서의 산업안전보건법 적용 기준은 무엇인가요?,사립학교는 안전보건관리체제를 포함한 현업업무 종사자만 법 적용 대상이 됩니다.,학교 및 교육기관
51,공립학교의 사업장 단위는 어떻게 설정하나요?,공립학교는 교육청 단위로 사업장이 설정됩니다.,학교 및 교육기관
54,학교의 청소업무 종사자는 현업업무로 분류되나요?,학교 청소업무는 현업업무로 분류되어 안전보건교육을 받아야 합니다.,학교 및 교육기관
62,광주과학기술원이 고등교육기관에 해당하는지 여부는 무엇을 기준으로 하나요?,"광주과학기술원은 특수 목적에 따라 설립되었지만, 고등교육법을 준용하여 학위과정을 운영하고 있어 고등교육기관으로 분류됩니다.",학교 및 교육기관
64,"교육서비스업에서 청소, 시설관리 업무를 수행하는 자는 어떤 규정이 적용되나요?",이들은 교육서비스업의 본연의 업무가 아니므로 안전보건관리체제가 적용됩니다.,학교 및 교육기관
65,국립대학교 사범대학 부설학교는 독립된 사업장으로 볼 수 있나요?,"인사 및 회계가 독립적으로 운영되지 않는 경우, 대학과 부설학교를 하나의 사업장으로 봅니다.",학교 및 교육기관
76,사립학교에서 현업업무 종사자는 어떤 규정을 적용받나요?,사립학교 현업업무 종사자는 안전보건관리체제와 안전보건교육 규정을 적용받습니다.,학교 및 교육기관
82,국립대학교와 그 부속학교는 별개의 사업장으로 볼 수 있나요?,국립대학교와 부속학교는 인사 및 회계의 독립성이 없으면 하나의 사업장으로 봅니다.,학교 및 교육기관
85,학교 청소업무 종사자는 어떤 규정을 적용받나요?,학교 청소업무 종사자는 현업업무 종사자로 분류되어 안전보건교육 규정을 적용받습니다.,학교 및 교육기관
90,공립학교의 사업장 단위는 어떻게 설정되나요?,공립학교는 교육청 단위로 사업장이 설정됩니다.,학교 및 교육기관
115,교원 등의 현업업무 종사자가 관리감독자에 해당되는지,"시설관리, 환경미화 등의 현업업무 종사자도 동일 기준 적용됨.",학교 및 교육기관
185,대학교에서 안전관리자 선임 기준,직영 현업근로자와 용역 근로자 모두를 포함하여 안전관리자를 선임해야 함.,학교 및 교육기관
205,학교 내 청소와 시설관리 인력의 산안법 적용 여부,"학교에서 청소, 시설관리 인력은 현업업무종사자로 산업안전보건법 적용 대상임.",학교 및 교육기관
290,일산화탄소가 급성 독성물질에 해당하는지,"일산화탄소는 급성 독성물질에 해당되며, 감지경보장치가 필요함.",화학물질 및 MSDS
351,위험물질의 범위,위험물질은 원료와 완제품을 포함하여 별도의 장소에 보관해야 함.,화학물질 및 MSDS
381,천연가스 밀도 계산 방법,천연가스의 밀도는 MSDS의 자료를 바탕으로 환경조건에 맞춰 적용.,화학물질 및 MSDS
588,노말헥산을 사용하는 화학설비가 안전검사 대상인가요?,노말헥산 60~70리터 사용 설비는 안전검사 대상에 해당되지 않습니다.,화학물질 및 MSDS
642,일산화탄소가 급성 독성물질에 해당하는지,"일산화탄소는 급성 독성물질에 해당하며, 누출 시 감지 및 경보설비를 사전에 갖춰야 함.",화학물질 및 MSDS
643,PVC 전선관에서 VC가 1% 이상 포함된 경우 허가가 필요한지,"PVC 전선관 제조 시 VC가 1% 이상 포함된 경우 허가가 필요하며, 그렇지 않다면 허가대상이 아님.",화학물질 및 MSDS
644,허가대상물질이 함유된 촉매제를 사용하는 경우 허가가 필요한지,"촉매제에 허가대상물질이 포함된 경우, 이를 사용하는 데는 허가가 필요함.",화학물질 및 MSDS
645,특정 작업이 허가대상유해물질의 사용에 해당하는지 여부,"중간제품을 통해 금속을 추출하는 과정에서 허가대상물질을 투입하는 경우, 그 과정은 사용에 해당함.",화학물질 및 MSDS
646,작업공정별 관리요령과 MSDS 상 문구가 상이할 경우 법적 문제 여부,"작업공정별 관리요령 문구가 MSDS와 다르더라도, 공정 상황에 맞게 수정 및 보완하여 기재할 수 있음.",화학물질 및 MSDS
647,한계농도 미만으로 함유된 구성성분을 MSDS에 기재해야 하는지,"한계농도 미만으로 함유된 경우 MSDS에 기재하지 않아도 되지만, 고용노동부에 제출할 때는 함유량을 포함해야 함.",화학물질 및 MSDS
648,MSDS 작성 시 불순물 기재 여부,"불순물이 한계농도 이상 함유된 경우, MSDS에 기재해야 함.",화학물질 및 MSDS
649,MSDS 교육 대상 및 시간,"MSDS 교육 대상은 화학물질을 취급하는 근로자이며, 교육 시간은 사업장 여건에 따라 자율적으로 정하면 됨.",화학물질 및 MSDS
650,외국에서 받은 MSDS를 국문으로 번역하여 제출할 수 있는지,해외 제조사로부터 받은 MSDS는 국문으로 번역하여 제출해야 함.,화학물질 및 MSDS
